show_id,director_name
s1221,Jan Suter
s1222,Alejandro Hartmann
s1224,Jos Humphrey
s1225,Todd Haynes
s1227,Brian De Palma
s1228,Susan Johnson
s1229,Àlex Pastor
s1229,David Pastor
s1230,Matt Piedmont
s1231,Hubert Woroniecki
s1233,Christian Alvart
s1235,Martin Campbell
s1236,Wong Jing
s1237,Wong Jing
s1238,Kitty Green
s1242,Richard Brooks
s1243,Steven Spielberg
s1244,Kagiso Lediga
s1245,Shalini Kantayya
s1246,Onur Tukel
s1248,Brad Peyton
s1249,Aaron Hancox
s1249,Michael McNamara
s1251,Henrik Martin Dahlsbakken
s1252,Troy Miller
s1253,Pascal Amanfo
s1255,Shivendra Singh Dungarpur
s1256,Yandy Laurens
s1257,Nicholas Hytner
s1258,Mahesh Bhatt
s1259,Harry Baweja
s1261,Prakash Balwant Saini
s1262,Aatmaram Dharne
s1263,David Dhawan
s1264,Umer Adil
s1266,Aziz Mirza
s1267,Apurva Dhar Badgaiyann
s1268,Rajiv Mehra
s1270,Sudhir Mishra
s1272,Ken Ghosh
s1273,Arne Birkenstock
s1274,Dianne Dreyer
s1275,Garin Nugroho
s1276,John Curran
s1277,Neill Blomkamp
s1280,Tim Burton
s1281,McG
s1282,McG
s1284,Charles A. Nichols
s1284,Iwao Takamoto
s1286,Ross Venokur
s1287,David Dhawan
s1288,David Dhawan
s1289,Kevin Smith
s1291,Jeff Orlowski
s1293,Wong Jing
s1293,Jason Kwan
s1294,John Scheinfeld
s1295,Guilherme Fontes
s1296,Gurvinder Singh
s1302,Lee Yoon-jung
s1303,Jon Favreau
s1310,James Yukich
s1311,Lance Bangs
s1312,Rohit Shetty
s1313,Bradley Parker
s1318,Rajiv Chilaka
s1319,Sidheswar Shukla
s1319,Asit Mohapatra
s1320,Asit Mohapatra
s1320,Shyamal Chaulia
s1321,Shyamal Chaulia
s1321,Asit Mohapatra
s1323,Rajiv Chilaka
s1323,Binayak Das
s1325,Anuranjan Premji
s1326,Mark Dindal
s1328,Darragh O'Connell
s1330,Niyi Akinmolayan
s1332,Tom Holland
s1334,John Smithson
s1335,Ayumu Watanabe
s1338,Vikas Bahl
s1338,Nitesh Tiwari
s1340,Tan Bing
s1341,Luis Lopez
s1343,Safdar Rahman
s1344,Bedabrata Pain
s1345,Ken Hughes
s1346,Atom Egoyan
s1348,Jean-Claude La Marre
s1349,Anurag Kashyap
s1350,Sachin Yardi
s1352,Andrew Sandler
s1353,Bill D'Elia
s1354,Bill D'Elia
s1355,Matt D'Elia
s1356,Chris Rock
s1357,Bo Burnham
s1358,Phil Joanou
s1359,Corbin Bernsen
s1361,Jay Karas
s1362,Antonio Campos
s1363,Michael Kampa
s1364,Detlev Buck
s1365,Marita Grabiak
s1366,Harvey Lowry
s1367,Gary Wheeler
s1368,Ernie Barbarash
s1369,James Dearden
s1370,Justin G. Dyck
s1371,Justin G. Dyck
s1372,Justin G. Dyck
s1373,Joe Roth
s1374,Marc Forster
s1375,Xavier Manrique
s1376,Israel Adrián Caetano
s1384,Priyadarshan
s1384,Kookie V. Gulati
s1385,Mohsin Ali
s1386,Hrishikesh Mukherjee
s1388,Amal Neerad
s1389,Handan İpekçi
s1395,Aaron Hann
s1395,Mario Miscione
s1396,Rachel Mason
s1397,Paul Weitz
s1398,Kunle Afolayan
s1399,Wi Ding Ho
s1401,Fernando Meirelles
s1401,Katia Lund
s1402,Cavi Borges
s1402,Luciano Vidigal
s1403,Madeleine Gavin
s1404,Pete Travis
s1406,Yesim Ustaoglu
s1408,Nick Mead
s1409,Louis Leterrier
s1410,Gregory Hoblit
s1411,Atul Sabharwal
s1412,Eric Stoltz
s1414,Fernando Moro
s1415,Jack Starrett
